date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:22	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Jan%202017%2019:14:23%20GMT	http://www.quad.fr/robots.txt		(from )
14:14:23	78660/78660	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202017%2019:14:23%20GMT	http://www.quad.fr/	C:/Users/esako_000/Desktop/WEB2/www.quad.fr/index.html	(from )
14:14:23	78660/78660	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202017%2019:14:24%20GMT	http://www.quad.fr/node/2	C:/Users/esako_000/Desktop/WEB2/www.quad.fr/node/2.html	(from http://www.quad.fr/)
14:14:24	9662/9662	---M--	200	added ('OK')	image/x-icon	date:Sat,%2008%20Oct%202016%2012:13:04%20GMT	http://www.quad.fr/sites/default/files/favicon.ico	C:/Users/esako_000/Desktop/WEB2/www.quad.fr/sites/default/files/favicon.ico	(from http://www.quad.fr/)
14:14:24	3008/3008	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Nov%202016%2010:19:04%20GMT	http://www.quad.fr/sites/default/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	C:/Users/esako_000/Desktop/WEB2/www.quad.fr/sites/default/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	(from http://www.quad.fr/)
14:14:24	494/494	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Nov%202016%2010:17:31%20GMT	http://www.quad.fr/sites/default/files/css/css_MnXiytJtb186Ydycnpwpw34cuUsHaKc80ey5LiQXhSY.css	C:/Users/esako_000/Desktop/WEB2/www.quad.fr/sites/default/files/css/css_MnXiytJtb186Ydycnpwpw34cuUsHaKc80ey5LiQXhSY.css	(from http://www.quad.fr/)
14:14:25	98540/98540	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Dec%202016%2014:17:45%20GMT	http://www.quad.fr/sites/default/files/css/css_eIgWCGtHQPrdunpjG1rprYtKQ0VuCOvW0YaoPBapOnA.css	C:/Users/esako_000/Desktop/WEB2/www.quad.fr/sites/default/files/css/css_eIgWCGtHQPrdunpjG1rprYtKQ0VuCOvW0YaoPBapOnA.css	(from http://www.quad.fr/)
14:14:25	112884/112884	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Nov%202016%2010:17:32%20GMT	http://www.quad.fr/sites/default/files/js/js_MpKfe1sTh5JIVGCZ17DsAuT1rqAC38MLLlkjqjQ1X_k.js	C:/Users/esako_000/Desktop/WEB2/www.quad.fr/sites/default/files/js/js_MpKfe1sTh5JIVGCZ17DsAuT1rqAC38MLLlkjqjQ1X_k.js	(from http://www.quad.fr/)
14:14:25	59617/59617	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Nov%202016%2010:19:04%20GMT	http://www.quad.fr/sites/default/files/js/js_bIldW-GTgOdGB-wD8USQO_ae0p3sTczqkhm8yyT4lgg.js	C:/Users/esako_000/Desktop/WEB2/www.quad.fr/sites/default/files/js/js_bIldW-GTgOdGB-wD8USQO_ae0p3sTczqkhm8yyT4lgg.js	(from http://www.quad.fr/)
14:14:28	309627/309627	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Oct%202016%2009:22:51%20GMT	http://www.quad.fr/sites/default/files/styles/cover_full/public/field_main_picture__page_home/Foule03.jpg?itok=h8iLow98	C:/Users/esako_000/Desktop/WEB2/www.quad.fr/sites/default/files/styles/cover_full/public/field_main_picture__page_home/Foule0389fe.jpg	(from http://www.quad.fr/)
